""	"PARTID"	"order"	"item"	"CODE"
"314"	"acgn009"	1	"Noget større"	"noget større"
"315"	"lhj004"	1	"noget stort"	"noget større"
"316"	"msc009"	3	"Noget uvist"	"uvist"
"317"	"LM007"	4	"Nysgerrighed"	"nysgerrighed"
"318"	"msr010"	4	"observatoer"	"observatør"
"319"	"KK007"	1	"Omg"	"omg"
"320"	"mho001"	1	"omnipotent"	"almægtig"
"321"	"lhj002"	4	"omsorg fra 'noget større'"	"omsorg"
"322"	"msc008"	4	"Omsorgsfuld"	"omsorg"
"323"	"msr004"	2	"ondskab"	"ondskab"
"324"	"LM017"	1	"Ophoejethed"	"ophøjethed"
"325"	"lhj005"	4	"overbevisning"	"overbevisning"
"326"	"naj007"	1	"Overhøjhed"	"overhøjhed"
"327"	"naj016"	3	"Overhoved i forskellige religioner"	"overhoved"
"328"	"LM003"	3	"Overmand"	"overmand"
"329"	"mho005"	3	"overmenneskelighed"	"overmenneskelig"
"330"	"mho003"	4	"overnaturlig"	"overnaturlig"
"331"	"naj005"	2	"Overtro"	"overtro"
"332"	"naj014"	2	"Overtro"	"overtro"
"333"	"acgn005"	2	"overtro"	"overtro"
"334"	"KK005"	2	"Overtro"	"overtro"
"335"	"msr002"	3	"overtro"	"overtro"
"336"	"msc003"	1	"Overtro"	"overtro"
"337"	"naj003"	2	"Påske"	"påske"
"338"	"msr002"	1	"patriarkatet"	"patriarkatet"
"339"	"KK007"	4	"Paven"	"paven"
"340"	"KK007"	2	"Person"	"person"
"341"	"naj013"	2	"Personligt"	"personlig"
"342"	"LM017"	2	"Polyteisme"	"polyteisme"
"343"	"acgn005"	5	"præst"	"præst"
"344"	"KK008"	4	"Præst"	"præst"
"345"	"mho001"	4	"problematisk"	"problematisk"
"346"	"mho002"	3	"regler"	"regler"
"347"	"acgn001"	4	"Regler"	"regler"
"348"	"lhj010"	2	"relationer"	"relationer"
"349"	"LM005"	1	"Religioes"	"religiøsitet"
"350"	"LM016"	2	"Religion"	"religion"
"351"	"msc002"	2	"Religion"	"religion"
"352"	"lhj005"	1	"religion"	"religion"
"353"	"lhj006"	1	"religion"	"religion"
