""	"PARTID"	"order"	"item"	"CODE.E"	"CODE"	"CODE.H"	"CODE.S"
"276"	"sh013"	4	"røgelse"	"objects"	"objects"	"feelings"	"objects"
"277"	"sh015"	4	"røgelse"	"objects"	"objects"	"objects"	"objects"
"278"	"rse006"	3	"selvhjælpsbøger"	"objects"	"objects"	"objects"	"objects"
"279"	"mgs014"	3	"sol"	"concepts"	"objects"	"beliefs"	"objects"
"280"	"hkp007"	4	"stearinlys"	"objects"	"objects"	"characteristics"	"objects"
"281"	"evj004"	3	"stearinlys"	"objects"	"objects"	"objects"	"objects"
"282"	"mgs004"	5	"stearinlys"	"objects"	"objects"	"objects"	"objects"
"283"	"sh013"	1	"sten"	"objects"	"objects"	"objects"	"objects"
"284"	"sh003"	1	"stjerner"	"concepts"	"objects"	"objects"	"objects"
"285"	"mgs014"	2	"stjerner"	"concepts"	"objects"	"objects"	"objects"
"286"	"sh002"	3	"syngeskaal"	"objects"	"objects"	"characteristics"	"objects"
"287"	"atoe003"	3	"tarot"	"objects"	"objects"	"feelings"	"objects"
"288"	"evj005"	2	"tørklæder"	"objects"	"objects"	"feelings"	"objects"
"289"	"sh006"	2	"asien"	"places"	"places"	"characteristics"	"places"
"290"	"mgs013"	3	"internettet"	"misc"	"places"	"beliefs"	"places"
"291"	"atoe014"	5	"kirke"	"places"	"places"	"objects"	"places"
"292"	"atoe004"	3	"natur"	"places"	"places"	"ritual"	"places"
"293"	"sh009"	2	"natur"	"places"	"places"	"places"	"places"
"294"	"mgs021"	1	"natur"	"places"	"places"	"places"	"places"
"295"	"atoe001"	3	"naturen"	"places"	"places"	"places"	"concepts"
"296"	"mgs012"	3	"noerrebro"	"places"	"places"	"concepts"	"places"
"297"	"mgs002"	2	"omgivelser"	"places"	"places"	"places"	"places"
"298"	"atoe014"	2	"bøn"	"prayer"	"prayer"	"prayer"	"prayer"
"299"	"mgs010"	3	"bod"	"concepts"	"ritual"	"rules"	"objects"
"300"	"atoe013"	3	"ceremonier"	"ritual"	"ritual"	"ritual"	"ritual"
"301"	"hkp004"	1	"fordybelse"	"meaning"	"ritual"	"feelings"	"ritual"
"302"	"atoe001"	2	"healing"	"ritual"	"ritual"	"concepts"	"concepts"
"303"	"atoe014"	4	"nadver"	"ritual"	"ritual"	"missing"	"ritual"
"304"	"mgs006"	3	"praksis"	"ritual"	"ritual"	"negative"	"ritual"
"305"	"rse009"	5	"ritual"	"ritual"	"ritual"	"concepts"	"ritual"
"306"	"evj005"	3	"spådom"	"ritual"	"ritual"	"concepts"	"concepts"
"307"	"evj001"	4	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"308"	"evj005"	4	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"309"	"atoe003"	2	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"310"	"atoe006"	3	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"311"	"rse006"	2	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"312"	"atoe010"	3	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"313"	"sh006"	1	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"314"	"sh009"	1	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"315"	"sh010"	2	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"316"	"mgs001"	2	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"317"	"mgs004"	2	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"318"	"mgs009"	5	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"319"	"mgs015"	1	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"320"	"mgs017"	3	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"321"	"mgs020"	3	"yoga"	"ritual"	"ritual"	"ritual"	"ritual"
"322"	"evj004"	1	"åndelæsning"	"concepts"	"ritual"	"ritual"	"ritual"
"323"	"hkp010"	3	"livsstil"	"meaning"	"rules"	"objects"	"meaning"
"324"	"mgs018"	1	"livsstil"	"meaning"	"rules"	"objects"	"meaning"
